Time,Open,High,Low,Close,Volume
2014-09-30 00:00:00,1.26931,1.27022,1.2571,1.26114,199081
2014-10-01 00:00:00,1.26115,1.26472,1.25836,1.26472,197800
2014-10-02 00:00:00,1.26472,1.26987,1.26138,1.26569,243923
2014-10-03 00:00:00,1.26568,1.26587,1.25005,1.25145,162609
2014-10-05 00:00:00,1.25107,1.25207,1.25089,1.25167,19553
2014-10-06 00:00:00,1.25167,1.26749,1.25138,1.26143,206375
2014-10-07 00:00:00,1.26143,1.26833,1.25837,1.26309,229996
2014-10-08 00:00:00,1.26308,1.27548,1.26226,1.27295,233201
2014-10-09 00:00:00,1.27294,1.27913,1.2664,1.26961,224670
2014-10-10 00:00:00,1.26961,1.27089,1.26054,1.26268,168285
2014-10-12 00:00:00,1.26311,1.26976,1.26201,1.26929,27597
2014-10-13 00:00:00,1.2693,1.27679,1.2651,1.27261,180652
2014-10-14 00:00:00,1.27261,1.27281,1.26247,1.26413,204705
2014-10-15 00:00:00,1.26413,1.28865,1.2637,1.28258,299679
2014-10-16 00:00:00,1.28252,1.284,1.27057,1.28003,249656
2014-10-17 00:00:00,1.28004,1.28369,1.27436,1.27589,149751
2014-10-19 00:00:00,1.27507,1.27695,1.27364,1.27665,23307
2014-10-20 00:00:00,1.27667,1.28168,1.27312,1.28008,155710
2014-10-21 00:00:00,1.28006,1.28401,1.27064,1.27226,196243
2014-10-22 00:00:00,1.27226,1.27396,1.26334,1.2634,186991
2014-10-23 00:00:00,1.26339,1.26766,1.26137,1.26525,177204
2014-10-24 00:00:00,1.26525,1.26957,1.26349,1.26688,142635
2014-10-26 00:00:00,1.26754,1.27143,1.26719,1.27066,25648
2014-10-27 00:00:00,1.27063,1.27231,1.26657,1.27096,165851
2014-10-28 00:00:00,1.27097,1.27648,1.26845,1.2737,174771
2014-10-29 00:00:00,1.2737,1.27705,1.26162,1.26248,197057
2014-10-30 00:00:00,1.26248,1.26323,1.25474,1.26006,216639
2014-10-31 00:00:00,1.26006,1.26032,1.2486,1.25235,206139
2014-11-02 00:00:00,1.25067,1.25138,1.24396,1.24806,37919
2014-11-03 00:00:00,1.24805,1.25096,1.24706,1.25069,198557
2014-11-04 00:00:00,1.2507,1.25773,1.25005,1.25562,201983
2014-11-05 00:00:00,1.25562,1.25669,1.24572,1.24823,227478
2014-11-06 00:00:00,1.24824,1.25333,1.23648,1.23803,235292
2014-11-07 00:00:00,1.23804,1.24694,1.2358,1.24533,208323
2014-11-09 00:00:00,1.24722,1.24893,1.24533,1.2476,27070
2014-11-10 00:00:00,1.2476,1.25091,1.24181,1.24386,172343
2014-11-11 00:00:00,1.24388,1.24991,1.23943,1.2464,190507
2014-11-12 00:00:00,1.2464,1.24978,1.24194,1.24415,218052
2014-11-13 00:00:00,1.24416,1.24915,1.24333,1.2453,173276
2014-11-14 00:00:00,1.24529,1.25463,1.23985,1.25249,183358
2014-11-16 00:00:00,1.25301,1.25774,1.25139,1.25685,35660
2014-11-17 00:00:00,1.25684,1.25724,1.24435,1.24751,174504
2014-11-18 00:00:00,1.24751,1.2545,1.24681,1.25221,175507
2014-11-19 00:00:00,1.2522,1.25985,1.25123,1.25436,242741
2014-11-20 00:00:00,1.25437,1.25752,1.25042,1.25572,217691
2014-11-21 00:00:00,1.25572,1.25667,1.2375,1.23871,183278
